name,length,geometry
"['Evans Street', 'Plymouth Street', 'Little Street']",772.822,"LINESTRING (-73.9875474 40.703788, -73.9874798 40.7037858, -73.9866743 40.703759, -73.9865938 40.7037563, -73.98654 40.7037547, -73.9864235 40.7037512, -73.986157 40.7037432, -73.9858294 40.7037334, -73.9847918 40.7037022, -73.9846227 40.7036962, -73.9828098 40.7036324, -73.9826479 40.7036277, -73.9811814 40.7035794, -73.9811448 40.7035783, -73.9810717 40.7035762, -73.9799867 40.7035493, -73.9802132 40.7030452, -73.98067 40.703052, -73.9809883 40.7030599, -73.9810444 40.7030613, -73.981111 40.703063)"
"['Boerum Street', 'White Street']",800.1940000000002,"LINESTRING (-73.942966 40.705888, -73.9428699 40.7058972, -73.9423347 40.7059484, -73.9414253 40.7060353, -73.9413674 40.7060409, -73.941282 40.706049, -73.9411994 40.7060569, -73.9407713 40.7060978, -73.9400547 40.7061663, -73.9397125 40.7061986, -73.939598 40.70621, -73.9394973 40.7062195, -73.939037 40.706265, -73.935814 40.706574, -73.9357541 40.7065802, -73.9356665 40.7065855, -73.9356893 40.7066544, -73.9357059 40.7067046, -73.9356313 40.7067186, -73.9339328 40.7070402, -73.9338778 40.7070507, -73.933791 40.707067)"
"['Division Avenue', 'Harrison Avenue']",521.316,"LINESTRING (-73.955699 40.7070415, -73.9558026 40.7070505, -73.9567168 40.7071141, -73.9570222 40.7071355, -73.957082 40.7071415, -73.9570222 40.7071355, -73.9567168 40.7071141, -73.9558026 40.7070505, -73.955699 40.7070415, -73.9556143 40.7070341, -73.95484 40.7069784, -73.9547765 40.7069628, -73.9547259 40.7069407, -73.9544988 40.706746, -73.9544241 40.7066761, -73.9543752 40.7066293, -73.9538606 40.7061686, -73.953794 40.706109, -73.9538606 40.7061686, -73.9543752 40.7066293, -73.9544241 40.7066761)"
"['Division Place', 'Porter Avenue']",913.5100000000001,"LINESTRING (-73.940745 40.720159, -73.9406508 40.7201838, -73.9397859 40.7204005, -73.9397 40.720422, -73.9396174 40.7204434, -73.9382587 40.7207955, -73.9382111 40.720808, -73.9381373 40.7208269, -73.9380491 40.7208484, -73.9372956 40.721032, -73.9366377 40.7212111, -73.9365091 40.7212461, -73.9363648 40.7212816, -73.9349785 40.7216231, -73.935284 40.722318, -73.9355528 40.7229176, -73.9355897 40.7229999, -73.9356214 40.723067, -73.9356433 40.7231131, -73.9358585 40.7235679, -73.935878 40.723609, -73.9359089 40.7236744, -73.935878 40.723609, -73.9358585 40.7235679, -73.9356433 40.7231131, -73.9356214 40.723067, -73.9355897 40.7229999, -73.9355528 40.7229176, -73.935284 40.722318)"
"['82nd Street', 'Dyker Place']",1055.209,"LINESTRING (-74.011543 40.616345, -74.013749 40.617676, -74.01595 40.619005, -74.018152 40.620336, -74.019886 40.6213837, -74.019999 40.621452, -74.020623 40.621806, -74.021178 40.621252)"
"['17th Street', 'Calder Place']",1140.839,"LINESTRING (-73.987221 40.66213, -73.9872853 40.6620693, -73.9876416 40.661733, -73.9876849 40.6616921, -73.9877305 40.6616491, -73.98774 40.661602, -73.9877193 40.6615657, -73.9876825 40.6615439, -73.9868335 40.661023, -73.986775 40.6609893, -73.986682 40.66093, -73.9865943 40.660877, -73.9845588 40.6596457, -73.98448 40.659598, -73.984389 40.6595432, -73.9833255 40.6589032, -73.9823559 40.6583197, -73.982275 40.658271, -73.9821794 40.6582133, -73.9802024 40.6570199, -73.9801583 40.6569933, -73.98007 40.65694, -73.979992 40.6568928, -73.977869 40.65561)"
"['Bergen Avenue', 'Royce Street']",1149.838,"LINESTRING (-73.902744 40.620068, -73.9044665 40.6216179, -73.90456 40.621702, -73.9044665 40.6216179, -73.902744 40.620068, -73.900926 40.618434, -73.89911 40.6168, -73.898538 40.616265, -73.8984924 40.6161562, -73.898559 40.615172)"
"['Quisenbury Drive', 'Butler Street']",864.506,"LINESTRING (-73.979122 40.679895, -73.9791587 40.6798415, -73.9794867 40.6793639, -73.9795147 40.6793228, -73.9795479 40.6792747, -73.9811604 40.6798936, -73.981265 40.6799337, -73.9813841 40.6799801, -73.9814965 40.6800236, -73.983711 40.68088, -73.985672 40.681642, -73.986866 40.682106, -73.9877276 40.6824437, -73.987856 40.682494)"
"['Shore Parkway Service Road', 'Canarsie Road']",512.475,"LINESTRING (-73.888389 40.630535, -73.8884829 40.6305807, -73.889233 40.630946, -73.8901731 40.6314159, -73.8902746 40.6314876, -73.8901731 40.6314159, -73.889233 40.630946, -73.8884829 40.6305807, -73.888389 40.630535, -73.8883053 40.6304966, -73.8874805 40.630102, -73.8871185 40.6303243)"
"['Adams Street', 'Sands Street']",1101.246,"LINESTRING (-73.9887396 40.6931979, -73.988685 40.6943086, -73.9886723 40.6946445, -73.9886998 40.6948981, -73.988698 40.6949196, -73.988696 40.6949564, -73.9886923 40.6950187, -73.9886888 40.6950804, -73.9886394 40.6959531, -73.988638 40.6959769, -73.9886367 40.6960006, -73.9886304 40.6961112, -73.9885875 40.6962394, -73.9885723 40.6962927, -73.9885682 40.696346, -73.9885655 40.6963813, -73.9885512 40.6965687, -73.9885029 40.6973856, -73.9884489 40.6983366, -73.9884296 40.6985952, -73.9883961 40.699223, -73.9883645 40.6998006, -73.9883559 40.6999257, -73.9883533 40.6999465, -73.9883492 40.699965, -73.9883422 40.6999826, -73.9883286 40.6999995, -73.9883066 40.7000039, -73.9882807 40.7000051, -73.9877767 40.6999902, -73.9876841 40.6999872, -73.9875672 40.69998, -73.9873767 40.6999761, -73.9869674 40.6999646, -73.9868471 40.6999604, -73.9863725 40.6999385, -73.9862372 40.6999325, -73.9860529 40.6999241, -73.9856051 40.699898, -73.985066 40.6998329, -73.984274 40.6997693)"
